Ingreso nacional bruto (ING) (US$),PIB per cápita (US$ a precios actuales),Gasto nacional bruto (US$ a precios constantes de 2010),"Población, total",Población urbana,Gasto nacional bruto (% del PIB),
13775344000,378.2120277,1.23E+11,37439317,19314944,100.1537288,
14814304000,392.9345914,1.28E+11,38683283,20280872,99.87684211,
16530280000,424.189634,1.40E+11,39982118,21296475,99.59367925,
19477944000,485.80005,1.58E+11,41333878,22361628,100.0112351,
21234640000,511.020745,2.21E+11,42737991,23476406,99.6825641,
23566704000,550.4698833,2.35E+11,44180437,24635453,99.18236842,
26201208000,581.7294506,2.48E+11,45656963,25835906,99.98409639,
28939512000,622.4250634,2.72E+11,47170337,27080962,100.3336785,
31985424000,666.7433859,2.78E+11,48714394,28365904,99.52497537,
34897440000,706.3131871,2.97E+11,50289306,29681251,101.9655405,
38495400000,755.3324884,3.05E+11,51897675,31023911,101.0811224,
44387480000,844.1744381,3.31E+11,53543436,32410913,100.7213274,
54435528000,1000.937872,3.61E+11,55228203,33843291,101.0370622,
70743688000,1264.35837,3.89E+11,56945880,35318974,102.1292,
86091952000,1499.355567,4.07E+11,58691882,36834438,102.7301636,
86770084416,1472.658876,4.20E+11,60452543,38381924,101.3750985,
79585539823,1314.019718,4.21E+11,62262505,39981868,99.91731206,
99570083333,1598.465548,4.58E+11,64123997,41638276,100.5858237,
1.30E+11,2039.646264,5.08E+11,65972912,43308578,101.2463559,
1.99E+11,3029.887355,5.63E+11,67705186,44914943,96.89055082,
2.54E+11,3812.580776,6.19E+11,69233769,46296621,97.14637942,
1.72E+11,2612.759171,5.65E+11,70656783,47619845,89.38525627,
1.47E+11,2166.461251,5.09E+11,72080310,48956226,86.1937753,
1.74E+11,2507.312061,5.30E+11,73489654,50294115,87.8576946,
1.86E+11,2607.380251,5.54E+11,74872006,51624248,89.69577542,
1.27E+11,1765.184878,5.23E+11,76224365,52944682,92.44397949,
1.41E+11,1902.438068,5.27E+11,77553504,54258758,89.25706395,
1.74E+11,2302.027017,5.45E+11,78892015,55588892,99.4421788,
2.13E+11,2759.445651,5.75E+11,80233749,56930659,100.7772485,
2.53E+11,3196.918925,6.14E+11,81720428,58363912,101.6681412,
3.05E+11,3756.889937,6.47E+11,83351595,59859781,103.338453,
3.54E+11,4272.785965,6.85E+11,84993164,61372714,105.1643767,
4.89E+11,5778.938722,6.83E+11,86648447,62905040,101.5212759,
5.15E+11,5976.523587,7.32E+11,88314424,64456282,103.0229586,
3.47E+11,4002.174304,6.47E+11,89969572,66008876,95.7431199,
3.97E+11,4487.291779,6.86E+11,91586555,67471815,96.56449016,
4.88E+11,5370.217511,7.45E+11,93183094,68889330,97.55340271,
5.13E+11,5555.737246,7.94E+11,94767284,70304057,98.90747351,
5.87E+11,6230.695571,8.29E+11,96334810,71712596,99.03400105,
6.93E+11,7232.878809,8.81E+11,97873442,73132993,100.4116506,
7.43E+11,7613.176932,8.74E+11,99394288,74590443,99.61612012,
7.59E+11,7650.89885,8.84E+11,100917081,76056158,100.7454658,
7.16E+11,7120.38477,9.00E+11,102429341,77520574,102.3567956,
7.71E+11,7525.465234,9.43E+11,103945813,78995700,100.9271498,
8.59E+11,8321.853493,9.68E+11,105442402,80460988,100.7937198,
9.60E+11,9125.422624,1.02E+12,106886790,81892383,100.4308579,
1.03E+12,9719.920452,1.05E+12,108302973,83306647,100.6897249,
1.09E+12,10119.83621,1.07E+12,109684489,84700556,101.7690007,
8.85E+11,8104.907579,1.00E+12,111049428,86085517,100.6344297,
1.05E+12,9399.970908,1.04E+12,112532401,87567088,99.91383253,
1.16E+12,10341.52105,1.08E+12,114150481,89164082,99.86498638,
1.18E+12,10376.05767,1.12E+12,115755909,90758420,100.557852,
1.24E+12,10865.6802,1.13E+12,117290686,92306597,101.1535707,
1.28E+12,11076.09245,1.15E+12,118755887,93808838,99.92701781,
1.14E+12,9753.380048,1.18E+12,120149897,95260846,101.042233,
1.05E+12,8875.062256,1.22E+12,121519221,96701350,101.1539459,
1.13E+12,9434.386487,1.24E+12,122839258,98108030,99.74064949,
1.19E+12,9857.028829,1.27E+12,124013861,99404550,99.05869615,
1.23E+12,10145.17018,1.25E+12,125085311,100623628,97.45841589,
1.05E+12,8655.000682,1.12E+12,125998302,101719689,94.79711219,
